GM,Ip,BF,VL,St,TA,Gs,Gr
0.00991491,0.00150439,0.000680627,0.000562731,0.000781641,0.00151824,0.00756695,0.0056456
0.00785393,0.00208612,0.00065403,0.00058983,0.000896785,0.0021669,0.0077638,0.00474133
0.00929921,0.00187853,0.000673533,0.000586172,0.0010089,0.0027367,0.00717758,0.00432723
0.00953503,0.00180673,0.000652679,0.000575607,0.000959754,0.00284304,0.00564408,0.00377931
0.010883,0.00177864,0.000629819,0.000563116,0.00100236,0.00305564,0.00557654,0.00361776
0.0112419,0.00169558,0.000628987,0.000561087,0.00100251,0.00296613,0.00620817,0.00374254
0.0105629,0.0014814,0.000635307,0.000529512,0.000948678,0.00284719,0.00580964,0.00350888
0.0103871,0.00144983,0.000686075,0.000523137,0.000923383,0.00292572,0.00631979,0.00360573
0.0102516,0.00118457,0.000710589,0.000533939,0.000915944,0.00299252,0.00788643,0.00431828
0.00860517,0.00115805,0.000670868,0.00050533,0.00098026,0.00317836,0.00818438,0.00407887
0.00755851,0.00125353,0.000664059,0.000487414,0.000917015,0.00342757,0.00773731,0.00431853
0.00564532,0.00136612,0.000680922,0.00046381,0.000860779,0.00376632,0.00900855,0.00557696
0.00647512,0.00158857,0.000655781,0.000472782,0.000808562,0.00363605,0.00912089,0.00595917
0.0049816,0.00162184,0.000637824,0.000439413,0.000730493,0.00419948,0.00808592,0.00542447
0.0052768,0.00161272,0.000627612,0.000465175,0.000722297,0.0044761,0.00763071,0.00535799
0.0055246,0.00160336,0.000638459,0.000465076,0.000776844,0.00489497,0.00707147,0.00533706
0.00617228,0.00149637,0.000575856,0.000466225,0.000737761,0.00501134,0.00536883,0.00448256
0.00775482,0.00147648,0.000564928,0.000470236,0.000639002,0.00479234,0.00479399,0.00426184
0.0095201,0.00147016,0.000570703,0.000471386,0.000568855,0.00483742,0.00447149,0.00409338
0.0104542,0.00152527,0.000584765,0.000487859,0.000577868,0.0048824,0.00359387,0.00331575
0.0100533,0.00145259,0.00062785,0.000516638,0.00056224,0.00478683,0.0012714,0.00191488
0.0104413,0.00151272,0.000654105,0.00055118,0.000602738,0.00448238,0.000979231,0.00170359
0.0091364,0.00152168,0.000613257,0.000553091,0.000614306,0.00382732,0.000904103,0.00136149
0.00904279,0.00152127,0.000626582,0.000534759,0.000656507,0.00332357,0.00119922,0.00138217
0.0107602,0.00153616,0.000634408,0.000548562,0.000638836,0.0030811,0.00130239,0.00145448
0.0104002,0.00157407,0.000667224,0.000554634,0.000640179,0.00369137,0.00138566,0.00151294
0.00919305,0.00152431,0.000681347,0.000552177,0.000658549,0.00355054,0.00139803,0.00158731
0.00804317,0.00148334,0.000664277,0.000537504,0.000638328,0.00334334,0.00139001,0.00159294
0.00764388,0.0013833,0.000672099,0.000532666,0.000660963,0.00322048,0.00139382,0.00164527
0.0061303,0.0012979,0.000669246,0.000519176,0.000652362,0.00301488,0.00140789,0.00183897
0.00542299,0.00118957,0.000683359,0.000503037,0.000633645,0.00293191,0.00133672,0.00219248
0.00528866,0.0013597,0.000682193,0.000497386,0.000607118,0.00280709,0.0010822,0.00222887
0.00453533,0.00160391,0.000684954,0.000459895,0.000581863,0.00273513,0.000776214,0.00218357
0.00364435,0.00155271,0.000673198,0.000421585,0.000574239,0.00229585,0.000624417,0.00223072
0.00477498,0.00156607,0.000710461,0.00042296,0.000574145,0.00201732,0.000531623,0.00218226
0.00545121,0.00176923,0.00070319,0.000472095,0.000590247,0.0020301,0.0005334,0.00206981
0.00596731,0.00174685,0.000689736,0.000470756,0.000562979,0.00220457,0.000521943,0.00216348
0.00593829,0.00170848,0.000706399,0.000478561,0.000536118,0.00298114,0.000495326,0.00251709
0.00645528,0.00167975,0.000714867,0.000482696,0.000532406,0.00310305,0.000463119,0.00232405
0.00663995,0.0017358,0.000729091,0.000520416,0.000495506,0.00309413,0.00049984,0.0020034
0.00661413,0.00185781,0.000711611,0.000537739,0.000499039,0.00307135,0.000516536,0.00184941
0.00694875,0.00189518,0.000737458,0.000562401,0.000519127,0.00292927,0.000530417,0.00171553
0.00539947,0.00213357,0.000793333,0.000605488,0.000533405,0.002946,0.000565337,0.00171671
0.0062609,0.00187361,0.000766044,0.00060078,0.000523342,0.00311874,0.000599465,0.00177258
0.00709323,0.0018936,0.000747291,0.000624505,0.00052635,0.00267775,0.000561832,0.00178195
0.00682699,0.00207003,0.000745343,0.000622643,0.00053035,0.00186269,0.00058726,0.00144576
0.00661182,0.00225935,0.000724681,0.000641665,0.000517306,0.00198222,0.000582648,0.00114374
0.0063585,0.00229386,0.000725086,0.000601382,0.000519321,0.00218773,0.00058895,0.00109146
0.00637369,0.00214742,0.000713082,0.000575188,0.000527577,0.00218103,0.0005482,0.00107643
0.00658434,0.00208535,0.000709342,0.000606227,0.000501379,0.00213156,0.000570374,0.00107218
0.00660814,0.00195052,0.000681672,0.000629064,0.000476517,0.00197807,0.000571453,0.00112314
0.0061313,0.00201931,0.000693179,0.000615065,0.000453388,0.00172904,0.000566249,0.00115217
0.00343786,0.00198695,0.000707716,0.000573841,0.000461521,0.00145631,0.000558293,0.00115489
0.00379237,0.002056,0.000745252,0.000580276,0.000457233,0.00148514,0.000582251,0.00166349
0.00532699,0.00208607,0.000758361,0.00058778,0.000464157,0.0013722,0.000579518,0.00208144
0.00570794,0.00283077,0.00074229,0.000613654,0.000463841,0.00101592,0.000582919,0.00218342
0.00559738,0.00305789,0.000742127,0.000622142,0.000475376,0.00103826,0.000599414,0.00220736
0.00592099,0.00331909,0.000756139,0.000659834,0.000512214,0.00111816,0.000575122,0.00217289
0.00554525,0.00319674,0.00073154,0.000733906,0.000509431,0.00115348,0.000578554,0.00213672
0.00579249,0.00303449,0.000739639,0.000693126,0.000537233,0.00116001,0.000579923,0.00213321
0.0058208,0.00309891,0.000719187,0.00066762,0.000581329,0.0011495,0.000569889,0.00202768
0.00533404,0.00334275,0.000737494,0.000743308,0.000585709,0.00116573,0.000560378,0.00179533
0.00404816,0.00338332,0.00074462,0.00073957,0.000599141,0.00104013,0.000522199,0.00137849
0.00300937,0.00335917,0.000740455,0.000723856,0.000616128,0.000926009,0.000533953,0.00104482
0.00293495,0.00273518,0.000733383,0.000729299,0.000631601,0.000746392,0.000508088,0.00108759
0.00295689,0.00290194,0.000733022,0.000738371,0.00061928,0.000690999,0.000528115,0.00112942
0.00197234,0.00314214,0.00074034,0.000729503,0.000625807,0.000649798,0.000512672,0.00119667
0.00173822,0.00338849,0.000746332,0.000707645,0.000646811,0.000713452,0.00053947,0.00118493
0.00254856,0.00370794,0.000756593,0.000711845,0.000611514,0.000829632,0.000556571,0.00120167
0.00278974,0.00357999,0.000761289,0.000761508,0.000590749,0.000875907,0.000590028,0.00120057
0.00254218,0.00376041,0.00071819,0.000761775,0.000573353,0.000867474,0.000591162,0.00115754
0.00251605,0.00364969,0.000694184,0.00080763,0.000546298,0.00101437,0.000632037,0.00115986
0.00240664,0.00338799,0.000683876,0.000799183,0.000509585,0.00117122,0.000643,0.00111126
0.00232718,0.00359627,0.000664039,0.00086374,0.000471289,0.00116644,0.00065493,0.00102906
0.00225512,0.00328554,0.000649273,0.000928828,0.000494173,0.00134432,0.000654807,0.000967303
0.00225862,0.00345061,0.000656795,0.00106377,0.000477823,0.00141176,0.000677644,0.00089773
0.00138139,0.00379552,0.000643218,0.00107027,0.000449978,0.00125444,0.000664137,0.000877107
0.000836649,0.00425473,0.000640338,0.00116835,0.000467749,0.00117818,0.00064043,0.000833193
0.000706426,0.00417971,0.00064183,0.00115541,0.000486736,0.0011847,0.000649079,0.000865059
0.000624783,0.00403771,0.000639306,0.0011268,0.000509585,0.00111253,0.000645531,0.000935678
0.000653215,0.00459956,0.000679498,0.00113158,0.00052553,0.000899328,0.000602061,0.000890193
0.000688479,0.00488816,0.0006723,0.0011502,0.000556664,0.000847066,0.000624223,0.000942817
0.000672842,0.00461168,0.000684405,0.00105583,0.000537289,0.000781114,0.000631722,0.00103738
0.000684173,0.00449149,0.000655181,0.000937315,0.000535399,0.000626657,0.000580136,0.00111652
0.000711461,0.00451988,0.000679587,0.000919032,0.000530921,0.000575993,0.000587805,0.00123841
0.000729166,0.00355253,0.000674382,0.000863197,0.000523079,0.000594746,0.00055603,0.00129506
0.000732953,0.00340536,0.000697296,0.000737549,0.000540447,0.000597006,0.000563266,0.00137563
0.000738284,0.0037437,0.000693264,0.000726732,0.000515384,0.000585211,0.00058641,0.00136577
0.000704628,0.00341869,0.000682131,0.000696738,0.000515762,0.000590796,0.00060044,0.001394
0.00072302,0.0026051,0.000678312,0.000738053,0.000499283,0.000610918,0.000620659,0.0015232
0.000724901,0.00303547,0.000705759,0.000927804,0.000515614,0.000653838,0.000587737,0.00161519
